City,Country,Lat,Lng,Temp,Cloudiness,Humidity,Wind Speed
Zhob,PK,31.3411,69.4481,76.1,52,23,4.94
Powell River,CA,49.8496,-124.5361,48.92,90,100,3.44
Aiken,US,33.5835,-81.5998,67.41,1,77,6.91
Henties Bay,NA,-22.116,14.2845,59.0,62,93,4.0
Alcântara,BR,-2.4089,-44.4147,78.8,20,94,4.61
Sittwe,MM,20.15,92.9,85.53,8,66,1.5
Ulaanbaatar,MN,47.9077,106.8832,35.6,75,48,8.95
Carros,FR,43.7894,7.184,55.36,75,88,1.14
Kaeo,NZ,-35.1,173.7833,68.0,45,57,7.0
Tra Vinh,VN,9.9347,106.3453,88.59,96,59,11.68
Kitakata,JP,37.65,139.8667,55.74,75,100,2.3
Marzuq,YE,14.4,46.4667,72.63,92,65,4.74
Klyuchevskiy,RU,53.5317,119.4519,28.29,100,73,10.02
Ascension,US,30.2169,-90.9001,75.04,75,83,6.91
Broken Hill,AU,-31.95,141.4333,69.8,0,30,8.05
Meulaboh,ID,4.1363,96.1285,83.08,92,74,2.48
Grants,US,35.1473,-107.8514,41.0,90,87,3.44
Griffith,US,41.5284,-87.4237,45.63,90,100,5.75
Tan An,VN,10.5333,106.4167,89.6,40,58,6.91
Hamilton,US,39.1834,-84.5333,66.04,90,94,6.91
Kilindoni,TZ,-7.9139,39.6668,79.77,19,81,13.24
Calama,CL,-22.4667,-68.9333,48.2,0,29,11.5
Hue,VN,16.4667,107.6,87.8,40,66,3.44
Havre-St-Pierre,CA,50.2334,-63.5986,41.0,75,87,4.61
Brae,GB,60.3964,-1.353,37.4,20,81,11.5
Kumluca,TR,36.3703,30.2869,70.23,99,53,4.03
Lata,PT,40.1629,-8.3327,54.59,96,75,1.99
Mīnāb,IR,27.1467,57.0801,80.6,50,57,4.61
Khadki,IN,18.5667,73.8667,84.15,57,43,6.26
Liepāja,LV,56.5419,21.0367,37.4,90,75,2.3
Maumere,ID,-8.6199,122.2111,83.26,77,57,1.43
Muros,ES,42.7762,-9.0603,42.8,36,89,7.83
Ruwi,OM,23.5996,58.5507,93.2,75,26,5.75
Doka,SD,13.5167,35.7667,83.84,16,37,8.95
Marawi,PH,7.9986,124.2928,84.0,99,78,5.99
Eidfjord,NO,60.4675,7.0719,19.0,45,85,6.11
Noumea,NC,-22.2763,166.4572,78.8,0,53,18.41
Verāval,IN,20.9,70.3667,83.3,40,66,9.57
Najrān,SA,17.4924,44.1277,73.4,40,56,4.61
Calvinia,ZA,-31.4707,19.776,50.97,100,82,5.7
Kabinda,CD,-6.1333,24.4833,66.24,82,95,3.06
Altay,CN,47.8667,88.1167,60.75,18,50,0.63
Le Port,RE,-20.9373,55.2919,74.66,20,83,16.11
Oktyabr'skoye,RU,43.0645,44.7417,48.2,25,93,4.47
Okhotsk,RU,59.3833,143.3,38.3,80,72,4.65
Ōdachō-ōda,JP,35.1833,132.5,59.0,75,94,2.3
Vila Franca do Campo,PT,37.7167,-25.4333,57.2,75,67,4.61
Thoen,TH,17.6129,99.2161,89.01,61,93,2.46
Darfo,IT,45.8779,10.1812,51.93,100,94,0.76
Mapiripán,CO,2.8892,-72.1256,72.63,75,92,2.91
Trincomalee,LK,8.5711,81.2335,82.85,75,75,8.81
Pangnirtung,CA,66.1451,-65.7125,30.83,100,78,5.82
Gomel,BY,52.4345,30.9754,35.31,0,87,6.71
Cedar City,US,37.6775,-113.0619,53.35,1,32,9.22
Phan Thiet,VN,10.9333,108.1,88.39,27,53,11.88
Saint-Augustin,CA,51.226,-58.6502,38.93,99,96,3.13
Novoil'insk,RU,51.6829,108.7143,43.56,4,25,1.28
Pithāpuram,IN,17.1167,82.2667,86.0,40,66,3.44
Dubuque,US,42.4833,-90.8668,59.27,40,67,6.91
Moberly,US,39.4184,-92.4382,62.87,90,94,9.24
Burns Lake,CA,54.2331,-125.7533,42.8,100,100,4.61
Palana,RU,59.1167,159.9667,33.04,100,93,5.61
Kigorobya,UG,1.6162,31.3089,65.97,75,85,4.72
Cayenne,GF,4.9333,-52.3333,77.58,75,94,4.61
Nikki,BJ,9.9401,3.2108,74.98,100,67,7.0
Melilla,ES,35.2937,-2.9383,58.59,0,72,6.91
Nautla,MX,20.2167,-96.7833,79.48,100,83,13.8
Smiltene,LV,57.4244,25.9016,37.0,98,74,1.01
Ardakān,IR,32.31,54.0175,73.4,40,27,4.61
Ugoofaaru,MV,5.6667,73.0,83.05,35,74,6.06
Kathmandu,NP,27.7167,85.3167,71.6,20,56,2.13
Asău,RO,46.4333,26.4,41.0,80,64,2.51
Panjāb,AF,34.388,67.0233,54.27,21,40,1.01
Āgaro,ET,7.85,36.65,61.07,96,96,1.28
Nur,PL,52.6683,22.3221,36.0,100,70,1.01
Auki,SB,-8.7676,160.7034,81.75,34,76,0.6
Erenhot,CN,43.6475,111.9767,40.21,0,16,16.49
Plouzané,FR,48.3833,-4.6167,42.73,20,93,3.44
Jardim,BR,-21.4803,-56.1381,59.76,8,51,3.78
Conde,BR,-7.2597,-34.9075,75.2,0,94,2.3
Margate,GB,51.3813,1.3862,44.01,99,76,11.01
Ban Phai,TH,16.06,102.731,77.4,90,94,9.22
Neiafu,TO,-18.65,-173.9833,82.4,40,83,9.22
Kumul,CN,42.8,93.45,72.66,32,13,4.76
Zhangye,CN,38.9342,100.4517,68.72,0,11,17.94
Morondava,MG,-20.2833,44.2833,76.03,0,74,5.73
Yambio,SS,4.5721,28.3955,69.04,100,96,3.58
Abrau-Dyurso,RU,44.69,37.59,48.11,98,81,15.66
Prado,BR,-17.3411,-39.2208,72.86,35,85,5.03
Tiébissou,CI,7.1574,-5.2257,77.0,75,94,9.22
Shubarkuduk,KZ,49.1447,56.4872,47.86,39,72,9.24
Rostovka,RU,55.3842,71.8891,53.04,100,55,11.34
Fene,ES,43.45,-8.15,41.67,3,100,4.61
Ekibastuz,KZ,51.6667,75.3667,63.97,83,56,7.0
Mastic Beach,US,40.7668,-72.8521,56.03,90,82,3.44
Almaty,KZ,43.25,76.95,71.6,0,35,4.47
West Monroe,US,32.5185,-92.1476,78.51,75,65,6.91
Nuquí,CO,5.7125,-77.2708,76.77,98,89,3.04
Flinders,AU,-34.5833,150.8552,73.31,39,63,4.0
Camalú,MX,30.85,-116.0667,60.01,0,53,4.0
Nemuro,JP,43.3236,145.575,62.6,75,45,6.91
Marsh Harbour,BS,26.5412,-77.0636,74.86,87,80,16.37
San Andrés,CO,12.5847,-81.7006,80.6,20,78,10.36
Jacqueville,CI,5.2052,-4.4146,82.4,20,89,3.44
Killybegs,IE,54.6333,-8.45,42.19,99,78,8.61
Vallenar,CL,-28.5708,-70.7581,60.35,0,71,1.07
Kuril'sk,RU,45.2333,147.8833,44.33,99,80,2.73
Maryville,US,35.7565,-83.9705,68.74,90,64,3.44
Fukuechō,JP,32.6881,128.8419,64.4,75,82,6.91
Havøysund,NO,70.9963,24.6622,26.6,75,93,8.05
Souris,CA,49.6172,-100.2612,30.2,20,80,4.61
Oktyabr'skiy,RU,54.4815,53.471,41.81,90,75,7.4
Amga,RU,60.8953,131.9608,34.07,100,89,4.68
Genhe,CN,50.7833,121.5167,39.9,97,49,7.83
Biltine,TD,14.5333,20.9167,81.9,37,11,11.63
Izhma,RU,65.0083,53.9113,30.58,100,76,7.02
Ubari,LY,26.5921,12.7805,86.68,98,19,5.14
Bidhūna,IN,26.8022,79.5088,97.14,7,7,5.12
Båtsfjord,NO,70.6345,29.7185,23.0,40,80,12.66
Praia da Vitória,PT,38.7333,-27.0667,57.7,75,94,8.32
Eureka,US,40.8021,-124.1637,51.8,66,87,5.1
Taksimo,RU,56.3444,114.8794,32.4,47,51,1.61
Virginia Beach,US,36.8529,-75.978,73.53,40,60,12.66
Ossora,RU,59.2353,163.0719,33.28,100,98,4.68
